Ticks,Price,Open-Interest
231,9241.0,655.347568
232,9241.0,655.316247
233,9247.5,655.497107
234,9245.0,655.322714
235,9245.0,655.232267
236,9240.0,655.196508
237,9244.5,654.963703
238,9244.5,654.922842
239,9244.0,654.946778
240,9244.5,654.945263
241,9244.5,654.958039
242,9244.0,654.944043
243,9244.0,654.945043
244,9244.5,654.943207
245,9234.5,654.440646
246,9225.5,654.100725
247,9217.0,653.756709
248,9192.0,651.411385
249,9206.5,651.131398
250,9208.5,650.604379
251,9199.5,650.435509
252,9196.5,650.449283
253,9208.0,650.53465
254,9201.5,650.314047
255,9201.5,650.356514
256,9210.0,650.174165
257,9200.0,650.007929
258,9201.5,650.097508
259,9206.0,650.106104
260,9200.0,650.214446
261,9197.0,650.090013
262,9188.5,650.221736
263,9171.0,650.116813
